id,field,get_pv,set_pv
1672,b0,SR16A-PC-VSTR-04:I,SR16A-PC-VSTR-04:SETI
1675,b1,SR16A-PC-Q1AD-06:I,SR16A-PC-Q1AD-06:SETI
1678,b2,SR16A-PC-S2A-05:I,SR16A-PC-S2A-05:SETI
1679,b0,SR16A-PC-HSTR-05:I,SR16A-PC-HSTR-05:SETI
1680,b0,SR16A-PC-VSTR-05:I,SR16A-PC-VSTR-05:SETI
1683,b1,SR16A-PC-Q2AD-07:I,SR16A-PC-Q2AD-07:SETI
1685,x,SR16C-DI-EBPM-05:SA:X,
1685,y,SR16C-DI-EBPM-05:SA:Y,
1688,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1691,b2,SR16A-PC-S2D-06:I,SR16A-PC-S2D-06:SETI
1692,b0,SR16A-PC-HSTR-06:I,SR16A-PC-HSTR-06:SETI
1693,b0,SR16A-PC-VSTR-06:I,SR16A-PC-VSTR-06:SETI
1696,b1,SR16A-PC-Q3D-08:I,SR16A-PC-Q3D-08:SETI
1698,x,SR16C-DI-EBPM-06:SA:X,
1698,y,SR16C-DI-EBPM-06:SA:Y,
1700,b1,SR16A-PC-Q2D-09:I,SR16A-PC-Q2D-09:SETI
1703,b2,SR16A-PC-S1D-07:I,SR16A-PC-S1D-07:SETI
1704,b0,SR16A-PC-HSTR-07:I,SR16A-PC-HSTR-07:SETI
1705,b0,SR16A-PC-VSTR-07:I,SR16A-PC-VSTR-07:SETI
1708,b1,SR16A-PC-Q1D-10:I,SR16A-PC-Q1D-10:SETI
1710,x,SR16C-DI-EBPM-07:SA:X,
1710,y,SR16C-DI-EBPM-07:SA:Y,
1712,f,LI-RF-MOSC-01:FREQ,LI-RF-MOSC-01:FREQ_SET
1715,x,SR17C-DI-EBPM-01:SA:X,
1715,y,SR17C-DI-EBPM-01:SA:Y,
1717,b1,SR17A-PC-Q1D-01:I,SR17A-PC-Q1D-01:SETI
1720,b2,SR17A-PC-S1D-01:I,SR17A-PC-S1D-01:SETI
1721,b0,SR17A-PC-HSTR-01:I,SR17A-PC-HSTR-01:SETI
1722,b0,SR17A-PC-VSTR-01:I,SR17A-PC-VSTR-01:SETI
1725,b1,SR17A-PC-Q2D-02:I,SR17A-PC-Q2D-02:SETI
1727,b1,SR17A-PC-Q3D-03:I,SR17A-PC-Q3D-03:SETI
1730,b2,SR17A-PC-S2D-02:I,SR17A-PC-S2D-02:SETI
1731,b0,SR17A-PC-HSTR-02:I,SR17A-PC-HSTR-02:SETI
1732,b0,SR17A-PC-VSTR-02:I,SR17A-PC-VSTR-02:SETI
1735,x,SR17C-DI-EBPM-02:SA:X,
1735,y,SR17C-DI-EBPM-02:SA:Y,
1737,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1739,b1,SR17A-PC-Q2AD-04:I,SR17A-PC-Q2AD-04:SETI
1741,x,SR17C-DI-EBPM-03:SA:X,
1741,y,SR17C-DI-EBPM-03:SA:Y,
1744,b2,SR17A-PC-S2A-03:I,SR17A-PC-S2A-03:SETI
1745,b0,SR17A-PC-HSTR-03:I,SR17A-PC-HSTR-03:SETI
1746,b0,SR17A-PC-VSTR-03:I,SR17A-PC-VSTR-03:SETI
1749,b1,SR17A-PC-Q1AD-05:I,SR17A-PC-Q1AD-05:SETI
1751,x,SR17C-DI-EBPM-04:SA:X,
1751,y,SR17C-DI-EBPM-04:SA:Y,
1754,b2,SR17A-PC-S1A-04:I,SR17A-PC-S1A-04:SETI
1755,b0,SR17A-PC-HSTR-04:I,SR17A-PC-HSTR-04:SETI
1756,b0,SR17A-PC-VSTR-04:I,SR17A-PC-VSTR-04:SETI
1759,b1,SR17A-PC-Q1AB-06:I,SR17A-PC-Q1AB-06:SETI
1762,b2,SR17A-PC-S2A-05:I,SR17A-PC-S2A-05:SETI
1763,b0,SR17A-PC-HSTR-05:I,SR17A-PC-HSTR-05:SETI
1764,b0,SR17A-PC-VSTR-05:I,SR17A-PC-VSTR-05:SETI
1767,b1,SR17A-PC-Q2AB-07:I,SR17A-PC-Q2AB-07:SETI
1769,x,SR17C-DI-EBPM-05:SA:X,
1769,y,SR17C-DI-EBPM-05:SA:Y,
1771,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1774,b2,SR17A-PC-S2C-06:I,SR17A-PC-S2C-06:SETI
1775,b0,SR17A-PC-HSTR-06:I,SR17A-PC-HSTR-06:SETI
1776,b0,SR17A-PC-VSTR-06:I,SR17A-PC-VSTR-06:SETI
1779,b1,SR17A-PC-Q3B-08:I,SR17A-PC-Q3B-08:SETI
1781,x,SR17C-DI-EBPM-06:SA:X,
1781,y,SR17C-DI-EBPM-06:SA:Y,
1783,b1,SR17A-PC-Q2B-09:I,SR17A-PC-Q2B-09:SETI
1786,b2,SR17A-PC-S1C-07:I,SR17A-PC-S1C-07:SETI
1787,b0,SR17A-PC-HSTR-07:I,SR17A-PC-HSTR-07:SETI
1788,b0,SR17A-PC-VSTR-07:I,SR17A-PC-VSTR-07:SETI
1791,b1,SR17A-PC-Q1B-10:I,SR17A-PC-Q1B-10:SETI
1793,x,SR17C-DI-EBPM-07:SA:X,
1793,y,SR17C-DI-EBPM-07:SA:Y,
1809,x,SR18C-DI-EBPM-01:SA:X,
1809,y,SR18C-DI-EBPM-01:SA:Y,
1811,b1,SR18A-PC-Q1B-01:I,SR18A-PC-Q1B-01:SETI
1814,b2,SR18A-PC-S1B-01:I,SR18A-PC-S1B-01:SETI
1815,b0,SR18A-PC-HSTR-01:I,SR18A-PC-HSTR-01:SETI
1816,b0,SR18A-PC-VSTR-01:I,SR18A-PC-VSTR-01:SETI
1819,b1,SR18A-PC-Q2B-02:I,SR18A-PC-Q2B-02:SETI
1821,b1,SR18A-PC-Q3B-03:I,SR18A-PC-Q3B-03:SETI
1824,b2,SR18A-PC-S2B-02:I,SR18A-PC-S2B-02:SETI
1825,b0,SR18A-PC-HSTR-02:I,SR18A-PC-HSTR-02:SETI
1826,b0,SR18A-PC-VSTR-02:I,SR18A-PC-VSTR-02:SETI
1829,x,SR18C-DI-EBPM-02:SA:X,
1829,y,SR18C-DI-EBPM-02:SA:Y,
1831,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1833,b1,SR18A-PC-Q2AB-04:I,SR18A-PC-Q2AB-04:SETI
1835,x,SR18C-DI-EBPM-03:SA:X,
1835,y,SR18C-DI-EBPM-03:SA:Y,
1838,b2,SR18A-PC-S2A-03:I,SR18A-PC-S2A-03:SETI
1839,b0,SR18A-PC-HSTR-03:I,SR18A-PC-HSTR-03:SETI
1840,b0,SR18A-PC-VSTR-03:I,SR18A-PC-VSTR-03:SETI
1843,b1,SR18A-PC-Q1AB-05:I,SR18A-PC-Q1AB-05:SETI
1845,x,SR18C-DI-EBPM-04:SA:X,
1845,y,SR18C-DI-EBPM-04:SA:Y,
1848,b2,SR18A-PC-S1A-04:I,SR18A-PC-S1A-04:SETI
1849,b0,SR18A-PC-HSTR-04:I,SR18A-PC-HSTR-04:SETI
1850,b0,SR18A-PC-VSTR-04:I,SR18A-PC-VSTR-04:SETI
1853,b1,SR18A-PC-Q1AB-06:I,SR18A-PC-Q1AB-06:SETI
1856,b2,SR18A-PC-S2A-05:I,SR18A-PC-S2A-05:SETI
1857,b0,SR18A-PC-HSTR-05:I,SR18A-PC-HSTR-05:SETI
1858,b0,SR18A-PC-VSTR-05:I,SR18A-PC-VSTR-05:SETI
1861,b1,SR18A-PC-Q2AB-07:I,SR18A-PC-Q2AB-07:SETI
1863,x,SR18C-DI-EBPM-05:SA:X,
1863,y,SR18C-DI-EBPM-05:SA:Y,
1866,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1869,b2,SR18A-PC-S2B-06:I,SR18A-PC-S2B-06:SETI
1870,b0,SR18A-PC-HSTR-06:I,SR18A-PC-HSTR-06:SETI
1871,b0,SR18A-PC-VSTR-06:I,SR18A-PC-VSTR-06:SETI
1874,b1,SR18A-PC-Q3B-08:I,SR18A-PC-Q3B-08:SETI
1876,x,SR18C-DI-EBPM-06:SA:X,
1876,y,SR18C-DI-EBPM-06:SA:Y,
1878,b1,SR18A-PC-Q2B-09:I,SR18A-PC-Q2B-09:SETI
1881,b2,SR18A-PC-S1B-07:I,SR18A-PC-S1B-07:SETI
1882,b0,SR18A-PC-HSTR-07:I,SR18A-PC-HSTR-07:SETI
1883,b0,SR18A-PC-VSTR-07:I,SR18A-PC-VSTR-07:SETI
1886,b1,SR18A-PC-Q1B-10:I,SR18A-PC-Q1B-10:SETI
1888,x,SR18C-DI-EBPM-07:SA:X,
1888,y,SR18C-DI-EBPM-07:SA:Y,
1902,x,SR19C-DI-EBPM-01:SA:X,
1902,y,SR19C-DI-EBPM-01:SA:Y,
1904,b1,SR19A-PC-Q1B-01:I,SR19A-PC-Q1B-01:SETI
1907,b2,SR19A-PC-S1B-01:I,SR19A-PC-S1B-01:SETI
1908,b0,SR19A-PC-HSTR-01:I,SR19A-PC-HSTR-01:SETI
1909,b0,SR19A-PC-VSTR-01:I,SR19A-PC-VSTR-01:SETI
1912,b1,SR19A-PC-Q2B-02:I,SR19A-PC-Q2B-02:SETI
1914,b1,SR19A-PC-Q3B-03:I,SR19A-PC-Q3B-03:SETI
1917,b2,SR19A-PC-S2B-02:I,SR19A-PC-S2B-02:SETI
1918,b0,SR19A-PC-HSTR-02:I,SR19A-PC-HSTR-02:SETI
1919,b0,SR19A-PC-VSTR-02:I,SR19A-PC-VSTR-02:SETI
1922,x,SR19C-DI-EBPM-02:SA:X,
1922,y,SR19C-DI-EBPM-02:SA:Y,
1924,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1926,b1,SR19A-PC-Q2AB-04:I,SR19A-PC-Q2AB-04:SETI
1928,x,SR19C-DI-EBPM-03:SA:X,
1928,y,SR19C-DI-EBPM-03:SA:Y,
1931,b2,SR19A-PC-S2A-03:I,SR19A-PC-S2A-03:SETI
1932,b0,SR19A-PC-HSTR-03:I,SR19A-PC-HSTR-03:SETI
1933,b0,SR19A-PC-VSTR-03:I,SR19A-PC-VSTR-03:SETI
1936,b1,SR19A-PC-Q1AB-05:I,SR19A-PC-Q1AB-05:SETI
1938,x,SR19C-DI-EBPM-04:SA:X,
1938,y,SR19C-DI-EBPM-04:SA:Y,
1941,b2,SR19A-PC-S1A-04:I,SR19A-PC-S1A-04:SETI
1942,b0,SR19A-PC-HSTR-04:I,SR19A-PC-HSTR-04:SETI
1943,b0,SR19A-PC-VSTR-04:I,SR19A-PC-VSTR-04:SETI
1946,b1,SR19A-PC-Q1AB-06:I,SR19A-PC-Q1AB-06:SETI
1949,b2,SR19A-PC-S2A-05:I,SR19A-PC-S2A-05:SETI
1950,b0,SR19A-PC-HSTR-05:I,SR19A-PC-HSTR-05:SETI
1951,b0,SR19A-PC-VSTR-05:I,SR19A-PC-VSTR-05:SETI
1954,b1,SR19A-PC-Q2AB-07:I,SR19A-PC-Q2AB-07:SETI
1956,x,SR19C-DI-EBPM-05:SA:X,
1956,y,SR19C-DI-EBPM-05:SA:Y,
1958,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1961,b2,SR19A-PC-S2B-06:I,SR19A-PC-S2B-06:SETI
1962,b0,SR19A-PC-HSTR-06:I,SR19A-PC-HSTR-06:SETI
1963,b0,SR19A-PC-VSTR-06:I,SR19A-PC-VSTR-06:SETI
1966,b1,SR19A-PC-Q3B-08:I,SR19A-PC-Q3B-08:SETI
1968,x,SR19C-DI-EBPM-06:SA:X,
1968,y,SR19C-DI-EBPM-06:SA:Y,
1970,b1,SR19A-PC-Q2B-09:I,SR19A-PC-Q2B-09:SETI
1973,b2,SR19A-PC-S1B-07:I,SR19A-PC-S1B-07:SETI
1974,b0,SR19A-PC-HSTR-07:I,SR19A-PC-HSTR-07:SETI
1975,b0,SR19A-PC-VSTR-07:I,SR19A-PC-VSTR-07:SETI
1978,b1,SR19A-PC-Q1B-10:I,SR19A-PC-Q1B-10:SETI
1980,x,SR19C-DI-EBPM-07:SA:X,
1980,y,SR19C-DI-EBPM-07:SA:Y,
2024,x,SR20C-DI-EBPM-01:SA:X,
2024,y,SR20C-DI-EBPM-01:SA:Y,
2027,b1,SR20A-PC-Q1B-01:I,SR20A-PC-Q1B-01:SETI
2030,b2,SR20A-PC-S1C-01:I,SR20A-PC-S1C-01:SETI
2031,b0,SR20A-PC-HSTR-01:I,SR20A-PC-HSTR-01:SETI
2032,b0,SR20A-PC-VSTR-01:I,SR20A-PC-VSTR-01:SETI
2035,b1,SR20A-PC-Q2B-02:I,SR20A-PC-Q2B-02:SETI
2037,b1,SR20A-PC-Q3B-03:I,SR20A-PC-Q3B-03:SETI
2040,b2,SR20A-PC-S2C-02:I,SR20A-PC-S2C-02:SETI
2041,b0,SR20A-PC-HSTR-02:I,SR20A-PC-HSTR-02:SETI
2042,b0,SR20A-PC-VSTR-02:I,SR20A-PC-VSTR-02:SETI
2045,x,SR20C-DI-EBPM-02:SA:X,
2045,y,SR20C-DI-EBPM-02:SA:Y,
2047,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2049,b1,SR20A-PC-Q2AB-04:I,SR20A-PC-Q2AB-04:SETI
2051,x,SR20C-DI-EBPM-03:SA:X,
2051,y,SR20C-DI-EBPM-03:SA:Y,
2054,b2,SR20A-PC-S2A-03:I,SR20A-PC-S2A-03:SETI
2055,b0,SR20A-PC-HSTR-03:I,SR20A-PC-HSTR-03:SETI
2056,b0,SR20A-PC-VSTR-03:I,SR20A-PC-VSTR-03:SETI
2059,b1,SR20A-PC-Q1AB-05:I,SR20A-PC-Q1AB-05:SETI
2061,x,SR20C-DI-EBPM-04:SA:X,
2061,y,SR20C-DI-EBPM-04:SA:Y,
2064,b2,SR20A-PC-S1A-04:I,SR20A-PC-S1A-04:SETI
2065,b0,SR20A-PC-HSTR-04:I,SR20A-PC-HSTR-04:SETI
2066,b0,SR20A-PC-VSTR-04:I,SR20A-PC-VSTR-04:SETI
2069,b1,SR20A-PC-Q1AD-06:I,SR20A-PC-Q1AD-06:SETI
2072,b2,SR20A-PC-S2A-05:I,SR20A-PC-S2A-05:SETI
2073,b0,SR20A-PC-HSTR-05:I,SR20A-PC-HSTR-05:SETI
2074,b0,SR20A-PC-VSTR-05:I,SR20A-PC-VSTR-05:SETI
2077,b1,SR20A-PC-Q2AD-07:I,SR20A-PC-Q2AD-07:SETI
2079,x,SR20C-DI-EBPM-05:SA:X,
2079,y,SR20C-DI-EBPM-05:SA:Y,
2081,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2084,b2,SR20A-PC-S2D-06:I,SR20A-PC-S2D-06:SETI
2085,b0,SR20A-PC-HSTR-06:I,SR20A-PC-HSTR-06:SETI
2086,b0,SR20A-PC-VSTR-06:I,SR20A-PC-VSTR-06:SETI
2089,b1,SR20A-PC-Q3D-08:I,SR20A-PC-Q3D-08:SETI
2091,x,SR20C-DI-EBPM-06:SA:X,
2091,y,SR20C-DI-EBPM-06:SA:Y,
2093,b1,SR20A-PC-Q2D-09:I,SR20A-PC-Q2D-09:SETI
2096,b2,SR20A-PC-S1D-07:I,SR20A-PC-S1D-07:SETI
2097,b0,SR20A-PC-HSTR-07:I,SR20A-PC-HSTR-07:SETI
2098,b0,SR20A-PC-VSTR-07:I,SR20A-PC-VSTR-07:SETI
2101,b1,SR20A-PC-Q1D-10:I,SR20A-PC-Q1D-10:SETI
2103,x,SR20C-DI-EBPM-07:SA:X,
2103,y,SR20C-DI-EBPM-07:SA:Y,
2117,x,SR21C-DI-EBPM-01:SA:X,
2117,y,SR21C-DI-EBPM-01:SA:Y,
2119,b1,SR21A-PC-Q1D-01:I,SR21A-PC-Q1D-01:SETI
2122,b2,SR21A-PC-S1D-01:I,SR21A-PC-S1D-01:SETI
2123,b0,SR21A-PC-HSTR-01:I,SR21A-PC-HSTR-01:SETI
2124,b0,SR21A-PC-VSTR-01:I,SR21A-PC-VSTR-01:SETI
2127,b1,SR21A-PC-Q2D-02:I,SR21A-PC-Q2D-02:SETI
2129,b1,SR21A-PC-Q3D-03:I,SR21A-PC-Q3D-03:SETI
2132,b2,SR21A-PC-S2D-02:I,SR21A-PC-S2D-02:SETI
2133,b0,SR21A-PC-HSTR-02:I,SR21A-PC-HSTR-02:SETI
2134,b0,SR21A-PC-VSTR-02:I,SR21A-PC-VSTR-02:SETI
2137,x,SR21C-DI-EBPM-02:SA:X,
2137,y,SR21C-DI-EBPM-02:SA:Y,
2139,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2141,b1,SR21A-PC-Q2AD-04:I,SR21A-PC-Q2AD-04:SETI
2143,x,SR21C-DI-EBPM-03:SA:X,
2143,y,SR21C-DI-EBPM-03:SA:Y,
2146,b2,SR21A-PC-S2A-03:I,SR21A-PC-S2A-03:SETI
2147,b0,SR21A-PC-HSTR-03:I,SR21A-PC-HSTR-03:SETI
2148,b0,SR21A-PC-VSTR-03:I,SR21A-PC-VSTR-03:SETI
2151,b1,SR21A-PC-Q1AD-05:I,SR21A-PC-Q1AD-05:SETI
2153,x,SR21C-DI-EBPM-04:SA:X,
2153,y,SR21C-DI-EBPM-04:SA:Y,
2156,b2,SR21A-PC-S1A-04:I,SR21A-PC-S1A-04:SETI
2157,b0,SR21A-PC-HSTR-04:I,SR21A-PC-HSTR-04:SETI
2158,b0,SR21A-PC-VSTR-04:I,SR21A-PC-VSTR-04:SETI
2161,b1,SR21A-PC-Q1AB-06:I,SR21A-PC-Q1AB-06:SETI
2164,b2,SR21A-PC-S2A-05:I,SR21A-PC-S2A-05:SETI
2165,b0,SR21A-PC-HSTR-05:I,SR21A-PC-HSTR-05:SETI
2166,b0,SR21A-PC-VSTR-05:I,SR21A-PC-VSTR-05:SETI
2169,b1,SR21A-PC-Q2AB-07:I,SR21A-PC-Q2AB-07:SETI
2171,x,SR21C-DI-EBPM-05:SA:X,
2171,y,SR21C-DI-EBPM-05:SA:Y,
2174,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2177,b2,SR21A-PC-S2C-06:I,SR21A-PC-S2C-06:SETI
2178,b0,SR21A-PC-HSTR-06:I,SR21A-PC-HSTR-06:SETI
2179,b0,SR21A-PC-VSTR-06:I,SR21A-PC-VSTR-06:SETI
2182,b1,SR21A-PC-Q3B-08:I,SR21A-PC-Q3B-08:SETI
2184,x,SR21C-DI-EBPM-06:SA:X,
2184,y,SR21C-DI-EBPM-06:SA:Y,
2186,b1,SR21A-PC-Q2B-09:I,SR21A-PC-Q2B-09:SETI
2189,b2,SR21A-PC-S1C-07:I,SR21A-PC-S1C-07:SETI
2190,b0,SR21A-PC-HSTR-07:I,SR21A-PC-HSTR-07:SETI
2191,b0,SR21A-PC-VSTR-07:I,SR21A-PC-VSTR-07:SETI
2194,b1,SR21A-PC-Q1B-10:I,SR21A-PC-Q1B-10:SETI
2196,x,SR21C-DI-EBPM-07:SA:X,
2196,y,SR21C-DI-EBPM-07:SA:Y,
2210,x,SR22C-DI-EBPM-01:SA:X,
2210,y,SR22C-DI-EBPM-01:SA:Y,
2212,b1,SR22A-PC-Q1B-01:I,SR22A-PC-Q1B-01:SETI
2215,b2,SR22A-PC-S1B-01:I,SR22A-PC-S1B-01:SETI
2216,b0,SR22A-PC-HSTR-01:I,SR22A-PC-HSTR-01:SETI
2217,b0,SR22A-PC-VSTR-01:I,SR22A-PC-VSTR-01:SETI
2220,b1,SR22A-PC-Q2B-02:I,SR22A-PC-Q2B-02:SETI
2222,b1,SR22A-PC-Q3B-03:I,SR22A-PC-Q3B-03:SETI
2225,b2,SR22A-PC-S2B-02:I,SR22A-PC-S2B-02:SETI
2226,b0,SR22A-PC-HSTR-02:I,SR22A-PC-HSTR-02:SETI
2227,b0,SR22A-PC-VSTR-02:I,SR22A-PC-VSTR-02:SETI
2230,x,SR22C-DI-EBPM-02:SA:X,
2230,y,SR22C-DI-EBPM-02:SA:Y,
2232,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2234,b1,SR22A-PC-Q2AB-04:I,SR22A-PC-Q2AB-04:SETI
2236,x,SR22C-DI-EBPM-03:SA:X,
2236,y,SR22C-DI-EBPM-03:SA:Y,
2239,b2,SR22A-PC-S2A-03:I,SR22A-PC-S2A-03:SETI
2240,b0,SR22A-PC-HSTR-03:I,SR22A-PC-HSTR-03:SETI
2241,b0,SR22A-PC-VSTR-03:I,SR22A-PC-VSTR-03:SETI
2244,b1,SR22A-PC-Q1AB-05:I,SR22A-PC-Q1AB-05:SETI
2246,x,SR22C-DI-EBPM-04:SA:X,
2246,y,SR22C-DI-EBPM-04:SA:Y,
2249,b2,SR22A-PC-S1A-04:I,SR22A-PC-S1A-04:SETI
2250,b0,SR22A-PC-HSTR-04:I,SR22A-PC-HSTR-04:SETI
2251,b0,SR22A-PC-VSTR-04:I,SR22A-PC-VSTR-04:SETI
2254,b1,SR22A-PC-Q1AB-06:I,SR22A-PC-Q1AB-06:SETI
2257,b2,SR22A-PC-S2A-05:I,SR22A-PC-S2A-05:SETI
2258,b0,SR22A-PC-HSTR-05:I,SR22A-PC-HSTR-05:SETI
2259,b0,SR22A-PC-VSTR-05:I,SR22A-PC-VSTR-05:SETI
2262,b1,SR22A-PC-Q2AB-07:I,SR22A-PC-Q2AB-07:SETI
2264,x,SR22C-DI-EBPM-05:SA:X,
2264,y,SR22C-DI-EBPM-05:SA:Y,
2267,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2270,b2,SR22A-PC-S2B-06:I,SR22A-PC-S2B-06:SETI
2271,b0,SR22A-PC-HSTR-06:I,SR22A-PC-HSTR-06:SETI
2272,b0,SR22A-PC-VSTR-06:I,SR22A-PC-VSTR-06:SETI
2275,b1,SR22A-PC-Q3B-08:I,SR22A-PC-Q3B-08:SETI
2277,x,SR22C-DI-EBPM-06:SA:X,
2277,y,SR22C-DI-EBPM-06:SA:Y,
2279,b1,SR22A-PC-Q2B-09:I,SR22A-PC-Q2B-09:SETI
2282,b2,SR22A-PC-S1B-07:I,SR22A-PC-S1B-07:SETI
2283,b0,SR22A-PC-HSTR-07:I,SR22A-PC-HSTR-07:SETI
2284,b0,SR22A-PC-VSTR-07:I,SR22A-PC-VSTR-07:SETI
2287,b1,SR22A-PC-Q1B-10:I,SR22A-PC-Q1B-10:SETI
2289,x,SR22C-DI-EBPM-07:SA:X,
2289,y,SR22C-DI-EBPM-07:SA:Y,
2303,x,SR23C-DI-EBPM-01:SA:X,
2303,y,SR23C-DI-EBPM-01:SA:Y,
2305,b1,SR23A-PC-Q1B-01:I,SR23A-PC-Q1B-01:SETI
2308,b2,SR23A-PC-S1B-01:I,SR23A-PC-S1B-01:SETI
2309,b0,SR23A-PC-HSTR-01:I,SR23A-PC-HSTR-01:SETI
2310,b0,SR23A-PC-VSTR-01:I,SR23A-PC-VSTR-01:SETI
2313,b1,SR23A-PC-Q2B-02:I,SR23A-PC-Q2B-02:SETI
2315,b1,SR23A-PC-Q3B-03:I,SR23A-PC-Q3B-03:SETI
2318,b2,SR23A-PC-S2B-02:I,SR23A-PC-S2B-02:SETI
2319,b0,SR23A-PC-HSTR-02:I,SR23A-PC-HSTR-02:SETI
2320,b0,SR23A-PC-VSTR-02:I,SR23A-PC-VSTR-02:SETI
2323,x,SR23C-DI-EBPM-02:SA:X,
2323,y,SR23C-DI-EBPM-02:SA:Y,
2325,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2327,b1,SR23A-PC-Q2AB-04:I,SR23A-PC-Q2AB-04:SETI
2329,x,SR23C-DI-EBPM-03:SA:X,
2329,y,SR23C-DI-EBPM-03:SA:Y,
2332,b2,SR23A-PC-S2A-03:I,SR23A-PC-S2A-03:SETI
2333,b0,SR23A-PC-HSTR-03:I,SR23A-PC-HSTR-03:SETI
2334,b0,SR23A-PC-VSTR-03:I,SR23A-PC-VSTR-03:SETI
2337,b1,SR23A-PC-Q1AB-05:I,SR23A-PC-Q1AB-05:SETI
2339,x,SR23C-DI-EBPM-04:SA:X,
2339,y,SR23C-DI-EBPM-04:SA:Y,
2342,b2,SR23A-PC-S1A-04:I,SR23A-PC-S1A-04:SETI
2343,b0,SR23A-PC-HSTR-04:I,SR23A-PC-HSTR-04:SETI
2344,b0,SR23A-PC-VSTR-04:I,SR23A-PC-VSTR-04:SETI
2347,b1,SR23A-PC-Q1AB-06:I,SR23A-PC-Q1AB-06:SETI
2350,b2,SR23A-PC-S2A-05:I,SR23A-PC-S2A-05:SETI
2351,b0,SR23A-PC-HSTR-05:I,SR23A-PC-HSTR-05:SETI
2352,b0,SR23A-PC-VSTR-05:I,SR23A-PC-VSTR-05:SETI
2355,b1,SR23A-PC-Q2AB-07:I,SR23A-PC-Q2AB-07:SETI
2357,x,SR23C-DI-EBPM-05:SA:X,
2357,y,SR23C-DI-EBPM-05:SA:Y,
2360,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2363,b2,SR23A-PC-S2B-06:I,SR23A-PC-S2B-06:SETI
2364,b0,SR23A-PC-HSTR-06:I,SR23A-PC-HSTR-06:SETI
2365,b0,SR23A-PC-VSTR-06:I,SR23A-PC-VSTR-06:SETI
2368,b1,SR23A-PC-Q3B-08:I,SR23A-PC-Q3B-08:SETI
2370,x,SR23C-DI-EBPM-06:SA:X,
2370,y,SR23C-DI-EBPM-06:SA:Y,
2372,b1,SR23A-PC-Q2B-09:I,SR23A-PC-Q2B-09:SETI
2375,b2,SR23A-PC-S1B-07:I,SR23A-PC-S1B-07:SETI
2376,b0,SR23A-PC-HSTR-07:I,SR23A-PC-HSTR-07:SETI
2377,b0,SR23A-PC-VSTR-07:I,SR23A-PC-VSTR-07:SETI
2380,b1,SR23A-PC-Q1B-10:I,SR23A-PC-Q1B-10:SETI
2382,x,SR23C-DI-EBPM-07:SA:X,
2382,y,SR23C-DI-EBPM-07:SA:Y,
2396,x,SR24C-DI-EBPM-01:SA:X,
2396,y,SR24C-DI-EBPM-01:SA:Y,
2398,b1,SR24A-PC-Q1B-01:I,SR24A-PC-Q1B-01:SETI
2401,b2,SR24A-PC-S1C-01:I,SR24A-PC-S1C-01:SETI
2402,b0,SR24A-PC-HSTR-01:I,SR24A-PC-HSTR-01:SETI
2403,b0,SR24A-PC-VSTR-01:I,SR24A-PC-VSTR-01:SETI
2406,b1,SR24A-PC-Q2B-02:I,SR24A-PC-Q2B-02:SETI
2408,b1,SR24A-PC-Q3B-03:I,SR24A-PC-Q3B-03:SETI
2411,b2,SR24A-PC-S2C-02:I,SR24A-PC-S2C-02:SETI
2412,b0,SR24A-PC-HSTR-02:I,SR24A-PC-HSTR-02:SETI
2413,b0,SR24A-PC-VSTR-02:I,SR24A-PC-VSTR-02:SETI
2416,x,SR24C-DI-EBPM-02:SA:X,
2416,y,SR24C-DI-EBPM-02:SA:Y,
2418,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
2420,b1,SR24A-PC-Q2AB-04:I,SR24A-PC-Q2AB-04:SETI
2422,x,SR24C-DI-EBPM-03:SA:X,
2422,y,SR24C-DI-EBPM-03:SA:Y,
2425,b2,SR24A-PC-S2A-03:I,SR24A-PC-S2A-03:SETI
2426,b0,SR24A-PC-HSTR-03:I,SR24A-PC-HSTR-03:SETI
2427,b0,SR24A-PC-VSTR-03:I,SR24A-PC-VSTR-03:SETI
2430,b1,SR24A-PC-Q1AB-05:I,SR24A-PC-Q1AB-05:SETI
2432,x,SR24C-DI-EBPM-04:SA:X,
2432,y,SR24C-DI-EBPM-04:SA:Y,
2435,b2,SR24A-PC-S1A-04:I,SR24A-PC-S1A-04:SETI
