id,field,get_pv,set_pv
408,y,SR04C-DI-EBPM-03:SA:Y,
411,b2,SR04A-PC-S2A-03:I,SR04A-PC-S2A-03:SETI
412,b0,SR04A-PC-HSTR-03:I,SR04A-PC-HSTR-03:SETI
413,b0,SR04A-PC-VSTR-03:I,SR04A-PC-VSTR-03:SETI
416,b1,SR04A-PC-Q1AB-05:I,SR04A-PC-Q1AB-05:SETI
418,x,SR04C-DI-EBPM-04:SA:X,
418,y,SR04C-DI-EBPM-04:SA:Y,
421,b2,SR04A-PC-S1A-04:I,SR04A-PC-S1A-04:SETI
422,b0,SR04A-PC-HSTR-04:I,SR04A-PC-HSTR-04:SETI
423,b0,SR04A-PC-VSTR-04:I,SR04A-PC-VSTR-04:SETI
426,b1,SR04A-PC-Q1AD-06:I,SR04A-PC-Q1AD-06:SETI
429,b2,SR04A-PC-S2A-05:I,SR04A-PC-S2A-05:SETI
430,b0,SR04A-PC-HSTR-05:I,SR04A-PC-HSTR-05:SETI
431,b0,SR04A-PC-VSTR-05:I,SR04A-PC-VSTR-05:SETI
434,b1,SR04A-PC-Q2AD-07:I,SR04A-PC-Q2AD-07:SETI
436,x,SR04C-DI-EBPM-05:SA:X,
436,y,SR04C-DI-EBPM-05:SA:Y,
438,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
441,b2,SR04A-PC-S2D-06:I,SR04A-PC-S2D-06:SETI
442,b0,SR04A-PC-HSTR-06:I,SR04A-PC-HSTR-06:SETI
443,b0,SR04A-PC-VSTR-06:I,SR04A-PC-VSTR-06:SETI
446,b1,SR04A-PC-Q3D-08:I,SR04A-PC-Q3D-08:SETI
448,x,SR04C-DI-EBPM-06:SA:X,
448,y,SR04C-DI-EBPM-06:SA:Y,
450,b1,SR04A-PC-Q2D-09:I,SR04A-PC-Q2D-09:SETI
453,b2,SR04A-PC-S1D-07:I,SR04A-PC-S1D-07:SETI
454,b0,SR04A-PC-HSTR-07:I,SR04A-PC-HSTR-07:SETI
455,b0,SR04A-PC-VSTR-07:I,SR04A-PC-VSTR-07:SETI
458,b1,SR04A-PC-Q1D-10:I,SR04A-PC-Q1D-10:SETI
460,x,SR04C-DI-EBPM-07:SA:X,
460,y,SR04C-DI-EBPM-07:SA:Y,
477,x,SR05C-DI-EBPM-01:SA:X,
477,y,SR05C-DI-EBPM-01:SA:Y,
479,b1,SR05A-PC-Q1D-01:I,SR05A-PC-Q1D-01:SETI
482,b2,SR05A-PC-S1D-01:I,SR05A-PC-S1D-01:SETI
483,b0,SR05A-PC-HSTR-01:I,SR05A-PC-HSTR-01:SETI
484,b0,SR05A-PC-VSTR-01:I,SR05A-PC-VSTR-01:SETI
487,b1,SR05A-PC-Q2D-02:I,SR05A-PC-Q2D-02:SETI
489,b1,SR05A-PC-Q3D-03:I,SR05A-PC-Q3D-03:SETI
492,b2,SR05A-PC-S2D-02:I,SR05A-PC-S2D-02:SETI
493,b0,SR05A-PC-HSTR-02:I,SR05A-PC-HSTR-02:SETI
494,b0,SR05A-PC-VSTR-02:I,SR05A-PC-VSTR-02:SETI
497,x,SR05C-DI-EBPM-02:SA:X,
497,y,SR05C-DI-EBPM-02:SA:Y,
499,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
501,b1,SR05A-PC-Q2AD-04:I,SR05A-PC-Q2AD-04:SETI
503,x,SR05C-DI-EBPM-03:SA:X,
503,y,SR05C-DI-EBPM-03:SA:Y,
506,b2,SR05A-PC-S2A-03:I,SR05A-PC-S2A-03:SETI
507,b0,SR05A-PC-HSTR-03:I,SR05A-PC-HSTR-03:SETI
508,b0,SR05A-PC-VSTR-03:I,SR05A-PC-VSTR-03:SETI
511,b1,SR05A-PC-Q1AD-05:I,SR05A-PC-Q1AD-05:SETI
513,x,SR05C-DI-EBPM-04:SA:X,
513,y,SR05C-DI-EBPM-04:SA:Y,
516,b2,SR05A-PC-S1A-04:I,SR05A-PC-S1A-04:SETI
517,b0,SR05A-PC-HSTR-04:I,SR05A-PC-HSTR-04:SETI
518,b0,SR05A-PC-VSTR-04:I,SR05A-PC-VSTR-04:SETI
521,b1,SR05A-PC-Q1AB-06:I,SR05A-PC-Q1AB-06:SETI
524,b2,SR05A-PC-S2A-05:I,SR05A-PC-S2A-05:SETI
525,b0,SR05A-PC-HSTR-05:I,SR05A-PC-HSTR-05:SETI
526,b0,SR05A-PC-VSTR-05:I,SR05A-PC-VSTR-05:SETI
529,b1,SR05A-PC-Q2AB-07:I,SR05A-PC-Q2AB-07:SETI
531,x,SR05C-DI-EBPM-05:SA:X,
531,y,SR05C-DI-EBPM-05:SA:Y,
533,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
536,b2,SR05A-PC-S2C-06:I,SR05A-PC-S2C-06:SETI
537,b0,SR05A-PC-HSTR-06:I,SR05A-PC-HSTR-06:SETI
538,b0,SR05A-PC-VSTR-06:I,SR05A-PC-VSTR-06:SETI
541,b1,SR05A-PC-Q3B-08:I,SR05A-PC-Q3B-08:SETI
543,x,SR05C-DI-EBPM-06:SA:X,
543,y,SR05C-DI-EBPM-06:SA:Y,
545,b1,SR05A-PC-Q2B-09:I,SR05A-PC-Q2B-09:SETI
548,b2,SR05A-PC-S1C-07:I,SR05A-PC-S1C-07:SETI
549,b0,SR05A-PC-HSTR-07:I,SR05A-PC-HSTR-07:SETI
550,b0,SR05A-PC-VSTR-07:I,SR05A-PC-VSTR-07:SETI
553,b1,SR05A-PC-Q1B-10:I,SR05A-PC-Q1B-10:SETI
555,x,SR05C-DI-EBPM-07:SA:X,
555,y,SR05C-DI-EBPM-07:SA:Y,
582,x,SR06C-DI-EBPM-01:SA:X,
582,y,SR06C-DI-EBPM-01:SA:Y,
584,b1,SR06A-PC-Q1B-01:I,SR06A-PC-Q1B-01:SETI
587,b2,SR06A-PC-S1B-01:I,SR06A-PC-S1B-01:SETI
588,b0,SR06A-PC-HSTR-01:I,SR06A-PC-HSTR-01:SETI
589,b0,SR06A-PC-VSTR-01:I,SR06A-PC-VSTR-01:SETI
592,b1,SR06A-PC-Q2B-02:I,SR06A-PC-Q2B-02:SETI
594,b1,SR06A-PC-Q3B-03:I,SR06A-PC-Q3B-03:SETI
597,b2,SR06A-PC-S2B-02:I,SR06A-PC-S2B-02:SETI
598,b0,SR06A-PC-HSTR-02:I,SR06A-PC-HSTR-02:SETI
599,b0,SR06A-PC-VSTR-02:I,SR06A-PC-VSTR-02:SETI
602,x,SR06C-DI-EBPM-02:SA:X,
602,y,SR06C-DI-EBPM-02:SA:Y,
604,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
606,b1,SR06A-PC-Q2AB-04:I,SR06A-PC-Q2AB-04:SETI
608,x,SR06C-DI-EBPM-03:SA:X,
608,y,SR06C-DI-EBPM-03:SA:Y,
611,b2,SR06A-PC-S2A-03:I,SR06A-PC-S2A-03:SETI
612,b0,SR06A-PC-HSTR-03:I,SR06A-PC-HSTR-03:SETI
613,b0,SR06A-PC-VSTR-03:I,SR06A-PC-VSTR-03:SETI
616,b1,SR06A-PC-Q1AB-05:I,SR06A-PC-Q1AB-05:SETI
618,x,SR06C-DI-EBPM-04:SA:X,
618,y,SR06C-DI-EBPM-04:SA:Y,
621,b2,SR06A-PC-S1A-04:I,SR06A-PC-S1A-04:SETI
622,b0,SR06A-PC-HSTR-04:I,SR06A-PC-HSTR-04:SETI
623,b0,SR06A-PC-VSTR-04:I,SR06A-PC-VSTR-04:SETI
626,b1,SR06A-PC-Q1AB-06:I,SR06A-PC-Q1AB-06:SETI
629,b2,SR06A-PC-S2A-05:I,SR06A-PC-S2A-05:SETI
630,b0,SR06A-PC-HSTR-05:I,SR06A-PC-HSTR-05:SETI
631,b0,SR06A-PC-VSTR-05:I,SR06A-PC-VSTR-05:SETI
634,b1,SR06A-PC-Q2AB-07:I,SR06A-PC-Q2AB-07:SETI
636,x,SR06C-DI-EBPM-05:SA:X,
636,y,SR06C-DI-EBPM-05:SA:Y,
638,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
641,b2,SR06A-PC-S2B-06:I,SR06A-PC-S2B-06:SETI
642,b0,SR06A-PC-HSTR-06:I,SR06A-PC-HSTR-06:SETI
643,b0,SR06A-PC-VSTR-06:I,SR06A-PC-VSTR-06:SETI
646,b1,SR06A-PC-Q3B-08:I,SR06A-PC-Q3B-08:SETI
648,x,SR06C-DI-EBPM-06:SA:X,
648,y,SR06C-DI-EBPM-06:SA:Y,
650,b1,SR06A-PC-Q2B-09:I,SR06A-PC-Q2B-09:SETI
653,b2,SR06A-PC-S1B-07:I,SR06A-PC-S1B-07:SETI
654,b0,SR06A-PC-HSTR-07:I,SR06A-PC-HSTR-07:SETI
