id,name,type,length
461,461,DRIFT,0.002500
462,462,DRIFT,1.172500
463,463,DRIFT,0.150000
464,464,HTRIM,0.000000
465,465,VTRIM,0.000000
466,466,DRIFT,0.150000
467,467,DRIFT,2.905000
468,468,source,0.000000
469,469,DRIFT,2.905000
470,470,DRIFT,0.150000
471,471,HTRIM,0.000000
472,472,VTRIM,0.000000
473,473,DRIFT,0.150000
474,474,AP,0.000000
475,475,DRIFT,1.172500
476,476,DRIFT,0.002500
477,477,BPM,0.000000
478,478,DRIFT,1.288300
479,479,QUAD,0.406400
480,480,DRIFT,0.146800
481,481,DRIFT,0.005000
482,482,SEXT,0.290000
483,483,HSTR,0.000000
484,484,VSTR,0.000000
485,485,DRIFT,0.005000
486,486,DRIFT,0.231850
487,487,QUAD,0.606300
488,488,DRIFT,0.458350
489,489,QUAD,0.307000
490,490,DRIFT,0.196500
491,491,DRIFT,0.005000
492,492,SEXT,0.290000
493,493,HSTR,0.000000
494,494,VSTR,0.000000
495,495,DRIFT,0.005000
496,496,DRIFT,0.185000
497,497,BPM,0.000000
498,498,DRIFT,0.484000
499,499,BEND,0.933000
500,500,DRIFT,0.585800
501,501,QUAD,0.406400
502,502,DRIFT,0.158300
503,503,BPM,0.000000
504,504,DRIFT,0.263500
505,505,DRIFT,0.005000
506,506,SEXT,0.190000
507,507,HSTR,0.000000
508,508,VSTR,0.000000
509,509,DRIFT,0.005000
510,510,DRIFT,0.195200
511,511,QUAD,0.407600
512,512,DRIFT,0.118700
513,513,BPM,0.000000
514,514,DRIFT,0.116000
515,515,DRIFT,0.005000
516,516,SEXT,0.290000
517,517,HSTR,0.000000
518,518,VSTR,0.000000
519,519,DRIFT,0.005000
520,520,DRIFT,0.234700
521,521,QUAD,0.407600
522,522,DRIFT,0.195200
523,523,DRIFT,0.005000
524,524,SEXT,0.190000
525,525,HSTR,0.000000
526,526,VSTR,0.000000
527,527,DRIFT,0.005000
528,528,DRIFT,0.421800
529,529,QUAD,0.406400
530,530,DRIFT,0.101800
531,531,BPM,0.000000
532,532,DRIFT,0.484000
533,533,BEND,0.933000
534,534,DRIFT,0.669000
535,535,DRIFT,0.005000
536,536,SEXT,0.290000
537,537,HSTR,0.000000
538,538,VSTR,0.000000
539,539,DRIFT,0.005000
540,540,DRIFT,0.196500
541,541,QUAD,0.307000
542,542,DRIFT,0.173000
543,543,BPM,0.000000
